Bernard Aoun,"Internist, Geriatrician"
Bashar A. Aqel,"Transplant Hepatologist, Internist, Gastroenterologist"
Cecilia Y. Arana Yi,Hematologist / Oncologist
Philip A. Araoz,Radiologist
Karissa N. Arca,Neurologist
Kevin Arce,Oral and Maxillofacial Surgeon
Alberto E. Ardon,
Tina Ardon,Family Physician
Katherine W. Arendt,Anesthesiologist
Arman Arghami,Cardiovascular Surgeon
Brian J. Arizmendi,Psychologist
Courtney A. Arment,Rheumatologist
Sarah Armour,"Echocardiographer, Anesthesiologist"
Ricky R. Arnold,Emergency Medicine Physician
Amindra S. Arora,"Internist, Gastroenterologist"
Christopher J. Arpey,"Dermatologist, Internist"
Adelaide M. Arruda-Olson,"Echocardiographer, Internist, Cardiologist"
Reza Arsanjani,"Echocardiographer, Internist, Cardiologist"
Grace M. Arteaga,"Pediatric Critical Care Specialist, Pediatrician"
Manuel Arteta,Pediatric Pulmonologist
Vichaya Arunthari,"Pulmonologist, Sleep Medicine Specialist"
Elena Ashikhmina,"Echocardiographer, Anesthesiologist"
Jonathan B. Ashman,Radiation Oncologist
Aneel A. Ashrani,"Oncologist, Hematologist, Internist"
Samuel J. Asirvatham,Cardiac Electrophysiologist
J. Wells Askew,"Echocardiographer, Cardiologist"
Fawad Aslam,"Rheumatologist, Sonographer"
Nabeel Aslam,"Nephrologist, Internist"
James W. Atchison,
Janhavi Athale,"Critical Care Specialist, Hematologist / Oncologist"
John L. Atkinson,Neurosurgeon
Patty P. Atkinson,"Internist, Neurologist"
Albert N. Attia,Radiation Oncologist
Steven Attia,Oncologist
Thomas D. Atwell,Radiologist
Marie-Christine Aubry,Pathologist
R. Robert Auger,"Sleep Medicine Specialist, Psychiatrist"
Ernesto Ayala,
Natalya Azadeh,"Pulmonologist, Critical Care Specialist"
Keith T. Aziz,"Orthopedic Surgeon, Hand Surgeon"
Samir Babayev,"Gynecologist, Reproductive Endocrinologist"
Hani M. Babiker,
Dusica Babovic-Vuksanovic,"Medical Geneticist, Pediatrician"
Corrie R. Bach,Radiologist
John W. Bachman,Family Physician
Talha Badar,Hematologist / Oncologist
Andrew D. Badley,Infectious Disease Specialist
Dilhana S. Badurdeen,"Gastroenterologist, Bariatrician"
Francis Baffour,Radiologist
Remzi Bag,"Transplant Pulmonologist, Critical Care Specialist"
Gabor Bagameri,Cardiovascular Surgeon
Sanjay P. Bagaria,General Surgeon
Mark M. Bahn,Radiologist
Jonathan Baines,Family Physician
K. Drew (Drew) Baker,
Lyle W. Baker,"Hospitalist, Nephrologist, Internist"
Jamie N. Bakkum-Gamez,"Gynecologic Oncologist, Gynecologist"
Karim Bakri,"Hand Surgeon, Plastic Surgeon"
Sophie J. Bakri,Ophthalmologist
Vijayan Balan,"Transplant Hepatologist, Gastroenterologist"
Beth A. Ballinger,"Acute Care Surgeon, Surgeon, Vascular Surgeon, General Surgeon"
Irina Bancos,"Internist, Endocrinologist"
Ritu Banerjee,
Stephen F. Bansberg,"Otolaryngologist, Facial Plastic Surgeon"
Misbah Baqir,"Critical Care Specialist, Pulmonologist"
Keith H. Baratz,Ophthalmologist
Kim M. Barbel Johnson,Hematologist / Oncologist
Andrew J. Barkmeier,Ophthalmologist
Toure' (Toure) Barksdale,"Hospice & Palliative Medicine Specialist, Physiatrist, Palliative Care Specialist"
John M. Barlow,Radiologist
Jonathan D. Barlow,Orthopedic Surgeon
Thelma G. Barnes,Optometrist
Kevin M. Barrett,Neurologist
Gregory W. Barsness,Interventional Cardiologist
Brian J. Bartholmai,Radiologist
Matthew A. Bartlett,Internist
George B. Bartley,Ophthalmologist
Mairead M. Bartley,"Internist, Geriatrician"
Jeffrey R. Basford,Physiatrist
Matthew L. Basiaga,Pediatric Rheumatologist
Michael R. Basso,Neuropsychologist
Felipe Batalini,
Rachel A. Batdorf,
Lori A. Bates,Family Physician
Mashal J. Batheja,Gastroenterologist
Christopher D. Bauch,Audiologist
Linnea M. Baudhuin,Clinical Molecular Geneticist
Brent A. Bauer,Internist
Philippe R. Bauer,"Critical Care Specialist, Internist, Pulmonologist"
Julie M. Baughn,"Pediatrician, Pediatric Sleep Medicine Specialist"
Linda B. Baughn,"Clinical Molecular Geneticist, Clinical Cytogeneticist"
Christian L. Baum,Dermatologist
Nikola A. Baumann,
Deborah (Deb) A. Baumgarten,Radiologist
Leslie C. Baxter,
Semirra L. Bayan,Otolaryngologist
Maher A. Baz,"Transplant Pulmonologist, Critical Care Specialist"
Elena Beam,"Internist, Infectious Disease Specialist"
William (W. Brian) B. Beam,Anesthesiologist
Staci E. Beamer,Cardiothoracic Surgeon
Perry S. Bechtle,Anesthesiologist
Thomas J. Beckman,Internist
Nicholas A. Bedard,
Brittany C. Beel,Emergency Medicine Physician
Kebede H. Begna,"Internist, Hematologist"
Atta Behfar,Cardiologist
Kevin T. Behm,Colon and Rectal Surgeon
Tanios S. Bekaii-Saab,
Delamo I. Bekele,"Internist, Rheumatologist"
Debra A. Bell,
Malcolm R. Bell,Interventional Cardiologist
Erica Bellamkonda,Physiatrist
Venkatesh R. Bellamkonda,Emergency Medicine Physician
Fernanda Bellolio,Emergency Medicine Physician
Marek Belohlavek,
Chris J. Beltran,Radiation Oncology Medical Physicist
Eduardo E. Benarroch,Neurologist
Emily C. Bendel,Radiologist
Markus (Mark) A. Bendel,Anesthesiologist
Ellen M. Bendel-Stenzel,
Claire E. Bender,Radiologist
Bernard R. Bendok,Neurosurgeon
Keith A. Bengtson,Physiatrist
N. Nora Bennani,"Internist, Hematologist, Oncologist"
Courtney E. Bennett,"Internist, Cardiologist"
John C. Benson,Radiologist
Andrew J. Bentall,Nephrologist
Roberto P. Benzo,Pulmonologist
Elie F. Berbari,Infectious Disease Specialist
Keith H. Berge,Anesthesiologist
Thomas Bergquist,Psychologist
Leif Bergsagel,"Internist, Oncologist"
Larry R. Bergstrom,"Internist, Geriatrician"
Florentina Berianu,"Internist, Rheumatologist"
Sarah E. Berini,Neurologist
Matthew Bernard,Family Physician
Victor Bernet,Endocrinologist
Ashlie A. Bernhisel,Ophthalmologist
Matthew (Matt) A. Bernstein,Medical Physicist
Sophie Bersoux,Internist
Patricia J. Best,"Interventional Cardiologist, Cardiologist"
Rachelle M. Beste,Emergency Medicine Physician
Joseph M. Bestic,Radiologist
Hannah K. Betcher,Psychiatrist
Layne M. Bettini,
Arthur Beyder,"Internist, Gastroenterologist"
Jyoti Bhagia,Psychiatrist
Anjali Bhagra,Internist
Adil E. Bharucha,Gastroenterologist
Arveen K. Bhasin,Allergist-Immunologist
Bhavna Bhasin-Chhabra,Nephrologist
Alok A. Bhatt,
Shweta Bhatt,Radiologist
Anirban Bhattacharyya,Critical Care Specialist
M. Nadir Bhuiyan,Internist
Yan Bi,"Internist, Gastroenterologist"
Valentino (Val) J. Bianco,Cardiovascular Surgeon
Keith C. Bible,Oncologist
Dennis (Mike) M. Bierle,Internist
Kathryn H. Bietenholz,Anesthesiologist
Bridget K. Biggs,Psychologist
Marcie L. Billings,Pediatrician
Thomas A. Billings,Family Physician
Moritz Binder,"Internist, Hematologist"
Juliane Bingener-Casey,General Surgeon
Joshua S. Bingham,Orthopedic Surgeon
Larry A. Binkovitz,Radiologist
Matthew J. Binnicker,Microbiologist
Jared G. Bird,"Echocardiographer, Cardiologist"
Allen T. Bishop,Orthopedic Surgeon
Uldis Bite,"Plastic Surgeon, Facial Plastic Surgeon"
Haraldur Bjarnason,"Vascular Medicine Specialist, Radiologist"
Kara A. Bjur,"Anesthesiologist, Pediatric Anesthesiologist"
David F. Black,Radiologist
John L. Black,Psychiatrist
Karen E. Blackmon,Psychologist
Shanda Blackmon,Thoracic Surgeon
Janis E. Blair,Infectious Disease Specialist
Kurt E. Blasser,Orthopedic Surgeon
Adam C. Bledsoe,Gastroenterologist
Darci R. Block,Chemist
Matthew S. Block,Oncologist
Lisa A. Boardman,Gastroenterologist
William V. Bobo,
Frank (Andy) A. Bock,Family Physician
Katherine J. Bodiford,Dermatologist
Nicholas O. Boe,Internist
Neal Boeder,Internist
Christopher J. Boes,Neurologist
R. Paul (Richard) Boesch,Pediatric Pulmonologist
Brennan J. Boettcher,"Sports Medicine Specialist, Physiatrist"
Bradley F. Boeve,
Aliana M. Bofill-Garcia,
Andy Boggust,Emergency Medicine Physician
Jamie M. Bogle,"Sports Medicine Specialist, Audiologist"
John (J. Kyle) K. Bohman,"Critical Care Specialist, Anesthesiologist"
Eric T. Boie,Emergency Medicine Physician
Barry A. Boilson,"Cardiologist, Family Physician"
John P. Bois,Cardiologist
Melanie C. Bois,Pathologist
Elird Bojaxhi,Anesthesiologist
Candice W. Bolan,Radiologist
Jennifer M. Boland Froemming,Pathologist
Michael (Mike) S. Bold,Radiologist
Kristi L. Boldt,"Obstetrician, Gynecologist"
Patrick B. Bolton,Anesthesiologist
Elizabeth Bondi,Podiatrist
Michael P. Boniface,Emergency Medicine Physician
Amanda R. Bonikowske,
Sara L. Bonnes,Internist
Crystal R. Bonnichsen,"Echocardiographer, Cardiologist"
Candice A. Bookwalter,Radiologist
Andrea J. Boon,"Physiatrist, Electrodiagnostic Physician"
Stephen A. Boorjian,Urologist
Mitesh J. Borad,Oncologist
Daniel D. Borgeson,"Echocardiographer, Cardiologist"
Gail M. Boriel,Internist
Barry A. Borlaug,Cardiologist
Shari L. Bornstein,Internist
Jill A. Borovansky,Internist
E. Peter Bosch,Neurologist
Wendelyn Bosch,"Internist, Infectious Disease Specialist"
J. Michael Bostwick,Psychiatrist
Christopher (Chris) L. Boswell,Family Physician
Hugo Botha,Neurologist
Erick D. Bothun,Ophthalmologist
Judy C. Boughey,Surgical Oncologist
Ernest P. Bouras,Gastroenterologist
Juan M. Bowen,Internist
James H. Bower,Neurologist
Steven Bowers,General Surgeon
Andrew W. Bowman,Radiologist
James H. Boyum,Radiologist
Jesus (Jesse) D. Bracamonte,
David J. Bradley,"Cardiac Electrophysiologist, Cardiologist"
Elizabeth A. Bradley,Ophthalmologist
Christopher M. Brady,
Justin T. Brady,Colon and Rectal Surgeon
Bradley Bragg,Emergency Medicine Physician
Bhaumik Brahmbhatt,"Internist, Gastroenterologist"
Sherri A. Braksick,
Joline E. Brandenburg,Pediatric Physiatrist
Alexander (Alex) K. Bratt,Radiologist
Jeffrey S. Brault,Physiatrist
Cassandra M. Braun,"Pulmonologist, Critical Care Specialist"
Katia Marisa Bravo Jaimes,Cardiologist
Laura E. Breeher,Occupational Medicine Specialist
Joseph T. Breen,Otolaryngologist
William G. Breen,Radiation Oncologist
Scott A. Breitinger,
Daniel M. Breitkopf,Gynecologist
David N. Brennan,
Jerry D. Brewer,Dermatologist
LaPrincess C. Brewer,"Internist, Cardiologist"
Robert P. Bright,Psychiatrist
Waleed Brinjikji,
Todd M. Brinker,Family Physician
Debra H. Brinkmann,Radiation Oncology Medical Physicist
Juan P. Brito Campana,"Internist, Endocrinologist"
Jeffrey W. Britton,Neurologist
Daniel F. Broderick,Radiologist
Gregory A. Broderick,Urologist
Mark P. Brodersen,Orthopedic Surgeon
Michael C. Brodsky,Ophthalmologist
Autumn M. Brogan,Emergency Medicine Physician
Stephen M. Broski,Radiologist
Thomas G. Brott,Neurologist
Allen W. Brown,Physiatrist
Daniel R. Brown,Anesthesiologist
Michael J. Brown,Anesthesiologist
Paul D. Brown,Radiation Oncologist
Robert D. Brown,Neurologist
Tanya M. Brown,Psychologist
Frank V. Brozovich,Cardiologist
Alison J. Bruce,Dermatologist
Barbara K. Bruce,Psychologist
Charles J. Bruce,"Echocardiographer, Cardiologist"
Steven M. Bruce,Family Physician
David H. Bruining,Gastroenterologist
Sorin J. Brull,Anesthesiologist
Jane E. Brumbaugh,"Neonatologist, Pediatrician"
Lisa Brumble,"Internist, Infectious Disease Specialist"
W. Mark Brutinel,
Michael J. Bryan,Family Physician
Alan H. Bryce,"Internist, Oncologist"
Francis K. Buadi,"Internist, Hematologist"
Ian A. Buchanan,Neurosurgeon
Colin M. Bucks,
Adriane I. Budavari,Internist
Tamara E. Buechler,"Internist, Hospitalist"
Martin Bues,Radiation Oncology Medical Physicist
Alessia Buglioni,
John B. Bundrick,"Internist, Hospitalist"
Luke J. Burchill,Cardiologist
Charles D. Burger,Pulmonologist
David B. Burkholder,Neurologist
Christopher M. Burkle,Anesthesiologist
John C. Burnett,Internist
Tatnai L. Burnett,Gynecologist
Justin M. Burns,Surgeon
Terence (Terry) C. Burns,
Mary F. Burritt,
M. Caroline Burton,"Internist, Hospitalist"
Steven J. Buskirk,Radiologist
Ronald R. Butendieck,"Internist, Rheumatologist"
Yvonne S. Butler Tobah,Gynecologist
Kristina A. Butler,"Gynecologic Oncologist, Gynecologist, Urogynecologist"
Shayan Butt,
Yasmeen M. Butt,
Navtej (Nav) S. Buttar,Gastroenterologist
Joseph H. Butterfield,"Internist, Allergist-Immunologist"
Matthew A. Butters,Physiatrist
Mohamad Bydon,Neurosurgeon
Thomas J. Byrne,"Transplant Hepatologist, Internist"
Tina H. Byun,Internist
Allison Cabalka,Pediatric Cardiologist
Daniel Cabrera,Emergency Medicine Physician
Charles R. Cagin,"Interventional Cardiologist, Internist"
Hancheng Cai,
Meghan R. Cain,
Hector R. Cajigas,"Critical Care Specialist, Pulmonologist"
Kenneth T. Calamia,"Internist, Rheumatologist"
Marcella Caldi Scalcini,Internist
Cameron M. Callaghan,Radiation Oncologist
Matthew R. Callstrom,Radiologist
Michael J. Camilleri,"Dermatologist, Dermatopathologist"
Michael Camilleri,Gastroenterologist
John K. Camoriano,"Internist, Hematologist, Oncologist"
Christopher L. Camp,"Orthopedic Surgeon, Sports Medicine Specialist"
Ronna L. Campbell,Emergency Medicine Physician
Norbert G. Campeau,Radiologist
Jian L. Campian,Oncologist
Juan M. Canabal,"Critical Care Specialist, Internist"
David J. Cangemi,Gastroenterologist
Bryan C. Cannon,Pediatric Cardiologist
Keith J. Cannon,Internist
Hafsa M. Cantwell,Dermatologist
Nicholas (Nick) C. Canzanello,Physiatrist
Vincent J. Canzanello,"Nephrologist, Internist"
Sean M. Caples,"Critical Care Specialist, Pulmonologist, Sleep Medicine Specialist"
David J. Capobianco,Neurologist
Quintin M. Cappelle,
Pedro J. Caraballo,"Internist, Clinical Informaticist"
Ivan (Darin) D. Carabenciov,
Anisleidy Carbo,Family Physician
Juan C. Cardenas Rosales,Internist
Olivia O. Cardenas-Trowers,"Urogynecologist, Gynecologist"
Elise C. Carey,"Internist, Palliative Care Specialist"
Elizabeth J. Carey,"Transplant Hepatologist, Internist, Gastroenterologist"
William A. Carey,"Neonatologist, Pediatrician"
Brian T. Carlsen,"Plastic Surgeon, Hand Surgeon"
Matthew L. Carlson,Otolaryngologist
Stephanie K. Carlson,Radiologist
Thomas T. Carmody,Cardiovascular Surgeon
Eva M. Carmona Porquera,"Internist, Pulmonologist"
Christopher (Chris) R. Carpenter,
Paul C. Carpenter,
Brendan M. Carr,
Carrie M. Carr,Radiologist
Ryan M. Carr,Oncologist
Leslie Carranza,Obstetrician
Aakriti R. Carrubba,Gynecologist
Jonathan L. Carter,"Neurologist, Neuromuscular Disease Specialist"
Rodrigo Cartin-Ceba,"Critical Care Specialist, Pulmonologist"
Ana I. Casanegra,"Vascular Medicine Specialist, Internist"
Gregory D. Cascino,"Internist, Neurologist"
Richard J. Caselli,Neurologist
Melanie P. Caserta,Radiologist
William J. Casey,Plastic Surgeon
John D. Casler,Otolaryngologist
Adam Cassidy,Neuropsychologist
Stephen D. Cassivi,Thoracic Surgeon
Pablo R. Castillo,"Internist, Neurologist, Sleep Medicine Specialist"
Januario E. Castro,Hematologist / Oncologist
M. Regina Castro,"Lipidologist, Endocrinologist"
Joao Paulo Cavalcante de Almeida,Neurosurgeon
John N. Caviness,Neurologist
Jane H. Cerhan,Psychologist
Joseph G. Cernigliaro,Radiologist
Frank Cetta,Pediatric Cardiologist
Michael J. Cevette,Audiologist
Yong-Mei Cha,"Cardiologist, Cardiac Electrophysiologist"
Ryan M. Chadha,Anesthesiologist
Kaisorn L. Chaichana,Neurosurgeon
Harini A. Chakkera,"Nephrologist, Internist"
Rana Chakraborty,Pediatric Infectious Disease Specialist
Hari P. Chaliki,"Echocardiographer, Cardiologist"
Swarna S. Chaliki,Internist
Douglas (Doug) W. Challener,
Sarah J. Chalmers,"Pulmonologist, Critical Care Specialist, Pediatrician, Internist"
Andrew N. Chalupka,Anesthesiologist
Alex Chan,Radiologist
Elizabeth Y. Chan,Cardiologist
Johanna L. Chan,Gastroenterologist
Asher A. Chanan-Khan,Hematologist
Melanie J. Chandler,Psychologist
Anupam Chandra,"Internist, Geriatrician"
Vinay Chandrasekhara,Gastroenterologist
Alice Y. Chang,
Brent A. Chang,Otolaryngologist
Ian C. Chang,Cardiologist
April Chang-Miller,"Internist, Rheumatologist"
Paula D. Chantigian,Gynecologist
Robert C. Chantigian,Anesthesiologist
Alyssa B. Chapital,General Surgeon
Panithaya Chareonthaitawee,Cardiologist
Joseph C. Charles,Internist
Jonathan E. Charnin,Anesthesiologist
David M.H. Chascsa,"Transplant Hepatologist, Internist, Gastroenterologist"
Asma J. Chattha,Pediatrician
Sanjay Chaudhary,Critical Care Specialist
Rajeev Chaudhry,"Internist, Clinical Informaticist"
Mohit Chauhan,Psychiatrist
Augustine S. Chavez,Family Physician
Fouad T. Chebib,
Victor G. Chedid,Gastroenterologist
Anita H. Chen,"Gynecologist, Urogynecologist"
Beiyun Chen,Pathologist
Dong Chen,Pathologist
Frank K. Chen,
Frederick Chen,Radiologist
Horng H. Chen,"Echocardiographer, Cardiologist"
John J. Chen,
Longwen Chen,Pathologist
Ruqin Chen,Oncologist
Selby G. Chen,Neurosurgeon
Ying Ying (Christina) Chen,"Internist, Geriatrician"
Megan C. Cheney,Gynecologist
Scott M. Cheney,
Supavit (Mac) Chesdachai,"Internist, Infectious Disease Specialist"
William P Cheshire,Neurologist
Joseph Y. Cheung,Sleep Medicine Specialist
Wisit Cheungpasitporn,"Internist, Nephrologist"
Andrea L. Cheville,Physiatrist
Anikar Chhabra,"Sports Medicine Specialist, Orthopedic Surgeon"
Saurabh Chhabra,Hematologist / Oncologist
Chia-Chun Chiang,"Vascular Neurologist, Headache Specialist"
Sergio E. Chiarella,Allergist-Immunologist
Daniel (Dan) S. Childs,Oncologist
Ana-Maria Chindris,"Internist, Endocrinologist"
Eduardo N. Chini,Anesthesiologist
Ashish V. Chintakuntlawar,
Anca Chiriac,Cardiac Electrophysiologist
Razvan M. Chirila,
Shannon Y. Chiu,Neurologist
Mitchell (Mitch) F. Chlopek,Hospitalist
Garret W. Choby,Otolaryngologist
Kevin D. Chodnicki,Ophthalmologist
Tony Y. Chon,Internist
Brian W. Chong,Radiologist
C. Richard Choo,Radiation Oncologist
Samuel R. Choulet,"Internist, Hospitalist"
George K. Chow,Urologist
April R. Christensen,
Chancey L. Christenson,"Pathologist, Clinical Informaticist"
Melody A. Christians,Internist
Heidi K. Chua,"General Surgeon, Colon and Rectal Surgeon"
Saranya Chumsri,Oncologist
Darryl S. Chutka,Internist
Mine Cicek,
Robert R. Cima,"Colon and Rectal Surgeon, General Surgeon"
Jeremy M. Clain,"Critical Care Specialist, Internist, Pulmonologist"
Jonathan E. Clain,
Adrianna D. Clapp,Family Physician
Heather M. Clark,"Speech-Language Pathologist, Neurologic Communicative Disorder Specialist"
Matthew M. Clark,Psychologist
Bart L. Clarke,
Henry D. Clarke,Orthopedic Surgeon
Michelle (M. J.) J. Clarke,Neurosurgeon
Alfredo L. Clavell,Cardiologist
David W. Claypool,Internist
Sean P. Cleary,"Hepatobiliary and Pancreas Surgeon, Surgical Oncologist"
Casey M. Clements,Emergency Medicine Physician
Steven R. Clendenen,Anesthesiologist
Jacob N. Clendenon,Transplant Surgeon
William (Bill) Cliby,"Gynecologist, Gynecologic Oncologist"
Mary (Jennings) J. Clingan,Radiologist
Harry Cloft,Radiologist
Caroline G. Clune,
Steven H. Cobb,Ophthalmologist
Don (Chamil) C. Codipilly,Gastroenterologist
Nayantara Coelho-Prabhu,Gastroenterologist
Shelagh A. Cofer,Otolaryngologist
Petrice M. Cogswell,Radiologist
Jackie L. Cohrs,Optometrist
Brendon M. Colaco,
Kristina (Kristi) M. Colbenson,"Sports Medicine Specialist, Emergency Medicine Physician"
Christopher E. Colby,"Neonatologist, Pediatrician"
Thomas V. Colby,Pathologist
Joseph P. Colgan,"Internist, Hematologist"
Michael B. Colgan,Dermatologist
Jill J. Colglazier,"Vascular Surgeon, General Surgeon"
Dorin T. Colibaseanu,"General Surgeon, Colon and Rectal Surgeon"
Jeremy Collado,Emergency Medicine Physician
Maria L. Collazo-Clavell,
James E. Colletti,"Pediatrician, Emergency Medicine Physician"
Jeahan H. Colletti,Emergency Medicine Physician
C. Scott Collins,Internist
Douglas A. Collins,Radiologist
Joseph M. Collins,
Mark S. Collins,Radiologist
Nerissa M. Collins,Internist
Christopher A. Collura,"Neonatologist, Pediatrician"
Gerardo Colon-Otero,"Internist, Hematologist, Oncologist"
Nneka I. Comfere,"Dermatologist, Dermatopathologist"
Thomas B. Comfere,Anesthesiologist
Amy Lynn Conners,Radiologist
Heidi M. Connolly,"Echocardiographer, Internist, Cardiologist"
Curtiss B. Cook,"Internist, Endocrinologist"
David A. Cook,Internist
Elizabeth A. Coon,Neurologist
Kylie Cooper,Maternal-Fetal Medicine Specialist
Leslie T. Cooper,Cardiologist
Meghan A. Cooper,Urologist
Adela G. Cope,Gynecologist
Kimberly S. Corbin,Radiation Oncologist
Jacob M. Core,
Lauren F. Cornell,
Margarita M. Corredor,Pediatric Hospitalist
Gustavo A. Cortes Puentes,
Cherise Cortese,Pathologist
Isabel O. Cortopassi,Radiologist
Brian A. Costello,Oncologist
Collin M. Costello,Dermatologist
Mark G. Costopoulos,"Vascular Medicine Specialist, Internist, Geriatrician"
Cory G. Couch,Orthopedic Surgeon
Fergus J. Couch,
Gregory (Greg) P. Couser,"Psychiatrist, Occupational Medicine Specialist"
Jennifer B. Cowart,"Internist, Pharmacologist"
Jed (Colt) C. Cowdell,Hospitalist
Clayton T. Cowl,"Occupational Medicine Specialist, Pulmonologist"
Kelly L. Cox,
Elizabeth W. Cozine,
Kevin T. Cragun,Cardiologist
Iasmina M. Craici,Nephrologist
Daniel A. Craig,Radiologist
Fiona E. Craig,Pathologist
Paula Craigo,"Internist, Anesthesiologist"
Carl H. Cramer,"Pediatrician, Pediatric Nephrologist, Internist"
Justin Cramer,Radiologist
Sarah J. Crane,"Internist, Geriatrician"
Claudia C. Crawford,Anesthesiologist
Ana L. Creo,"Pediatric Endocrinologist, Pediatrician"
Amy Z. Crepeau,Neurologist
Juan A. Crestanello,Cardiovascular Surgeon
Jeffery L. Crick,Family Physician
